datetime,season,holiday,workingday,weather,temp,atemp,humidity,windspeed,casual,registered,count,bike_availability,peak_hour_flag,temp_variation,humidity_index,wind_factor,user_satisfaction,ride_duration,maintenance_flag,special_event_flag,traffic_level,energy_consumption,pollution_index,seasonal_effect,daily_peak_usage,weekend_usage_flag
01-01-2011 00:00,1,0,0,1,9.84,14.395,81,0.0,3,13,16,38,0,-1.3197853056077435,54.32896550403248,7.219965796763139,2.5022235565432664,6,0,1,8.35538257167381,3.487568403026905,131.06165555558718,0.06411305875339535,10,1
01-01-2011 01:00,1,0,0,1,9.02,13.635,80,0.0,8,32,40,28,1,-1.2441112599007607,27.99377716302669,11.77605137630848,4.782331589440025,10,1,0,0.9670970402171231,3.186342714006065,84.9386654961718,0.4313431310287381,14,1
01-01-2011 02:00,1,0,0,1,9.02,13.635,80,0.0,5,27,32,14,1,4.7935002432389275,54.27447194574935,15.798665935581527,1.0800128636562287,8,0,1,0.558412174256413,4.39394750578562,77.1508443264456,0.013561405878385946,54,1
01-01-2011 03:00,1,0,0,1,9.84,14.395,75,0.0,3,10,13,42,1,-1.9609912302753174,16.886869214973277,4.616225219547174,2.7812604538018024,17,0,0,5.343972753503795,0.5225772475498732,296.26242191960864,-0.9555137815190471,12,0
01-01-2011 04:00,1,0,0,1,9.84,14.395,75,0.0,0,1,1,7,1,-2.347725046213788,74.56457973845251,4.115658387654091,4.145836886451519,40,0,0,5.824763506073213,1.1573199834705523,249.87984315460696,-0.13471995485509147,68,0
01-01-2011 05:00,1,0,0,2,9.84,12.88,75,6.0032,0,1,1,20,1,-3.706190689324588,82.33491604038856,4.438051872480699,4.635921621647878,45,1,1,9.18265942160562,4.040447999900271,134.74056569280114,0.6822432122788609,65,1
01-01-2011 06:00,1,0,0,1,9.02,13.635,80,0.0,2,0,2,38,0,0.11008835682612794,85.58757799192604,7.632237484362707,3.942307667828755,43,0,0,2.0328315900430773,3.357510456987382,248.52526589299254,-0.23476350874630336,37,0
01-01-2011 07:00,1,0,0,1,8.2,12.88,86,0.0,1,2,3,18,0,-3.463256937863793,10.665271742793003,10.702063251537767,4.55356693249596,42,0,1,7.780035599968125,4.665774788500949,202.99358804601155,-0.47559318876338774,96,1
01-01-2011 08:00,1,0,0,1,9.84,14.395,75,0.0,1,7,8,22,1,1.162947127307845,55.77544003447928,0.2688990892309939,1.137472929622354,22,1,0,6.440691785150184,2.475433052915165,122.7884393989243,-0.41769243009357315,75,0
01-01-2011 09:00,1,0,0,1,13.12,17.425,76,0.0,8,6,14,10,0,-3.4484022106165044,80.87509698440329,15.60595170765006,1.3995047172067068,19,1,1,7.416715212328665,2.973726304087367,8.400349561810305,-0.78942506458009,38,0
01-01-2011 10:00,1,0,0,1,15.58,19.695,76,16.9979,12,24,36,10,1,0.7667331775920116,12.82164882123883,18.53432369263539,3.9509063192520695,52,0,0,1.5745088386454065,3.3090969963730115,274.05741605063093,-0.23271260367090307,21,1
01-01-2011 11:00,1,0,0,1,14.76,16.665,81,19.0012,26,30,56,23,0,3.2626923917462634,9.952240817407665,16.870391154164363,4.01331300899751,37,1,0,4.464586493804003,1.292848548193214,68.05221136541172,0.5572342017380814,18,0
